names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Adgrf5,-1.2532332,-0.16517569,0.21012085210316045,0.3436344284967074,1.0,1.0
Apln,-1.2562114,-0.07890791,0.20903934884767972,0.34208923842153793,1.0,1.0
Ccl25,-1.2627556,1.0600842,0.206677007288265,0.338888011295465,1.0,1.0
Trim36,-1.2692065,-0.73700976,0.20436740282815324,0.3352107531316301,1.0,1.0
Gfpt1,-1.2706423,-2.1823347,0.20385593188485118,0.3344814142954982,1.0,1.0
Fam214a,-1.27079,-1.1706755,0.2038033545785799,0.3344814142954982,1.0,1.0
Mdp1,-1.271824,,0.20343565825538945,0.33401079213725143,1.0,1.0
Foxm1,-1.2748237,0.757003,0.20237166460661837,0.3323728848493214,1.0,1.0
Iqgap3,-1.2886605,-0.22372395,0.19751615186332316,0.3247178509779296,1.0,1.0
Epb41l4a,-1.2937305,0.010141789,0.1957585372607037,0.3219340464937854,1.0,1.0
Pdlim1,-1.2947286,2.3651912,0.19541387486054929,0.32147284178505087,1.0,1.0
Rph3al,-1.2993354,-0.03842884,0.19382887451071118,0.318970199145503,1.0,1.0
Plxna2,-1.3099551,-0.049285483,0.190211035662186,0.3133255822720971,1.0,1.0
Grhl2,-1.3189127,0.031302776,0.1871982703470375,0.3084642993276069,1.0,1.0
Asf1a,-1.326773,-0.81009704,0.1845837746918374,0.30435651386934715,1.0,1.0
Tgfa,-1.3276734,-0.0038457375,0.18428601568679892,0.3039656654128881,1.0,1.0
Ss18l1,-1.3326578,-0.39637938,0.18264411115592794,0.30145612279807954,1.0,1.0
Shank3,-1.3363975,-0.066239566,0.18141936945003445,0.299632254525527,1.0,1.0
Piwil2,-1.3435465,,0.17909505956071492,0.2962821771847121,1.0,1.0
Ndc80,-1.3556051,-0.8441561,0.17522484006611128,0.28997538822180263,1.0,1.0
Lat,-1.3580678,-0.40488905,0.17444217155084152,0.2887756318728547,1.0,1.0
Nek2,-1.360511,0.050143562,0.17366830272203315,0.2876848191351747,1.0,1.0
Scn3b,-1.3642641,-0.16885503,0.17248446254658734,0.2858183447561126,1.0,1.0
Trhr,-1.3643485,0.06889668,0.17245790370411973,0.2858183447561126,1.0,1.0
Chek1,-1.3651711,,0.1721992969644972,0.28553483955093506,1.0,1.0
Bdnf,-1.365471,-0.011531274,0.17210507694588417,0.28547316606729495,1.0,1.0
Maob,-1.3974359,-0.080098756,0.1622825333176362,0.26989580125850066,1.0,1.0
Epha2,-1.400986,-0.09718641,0.16121828345543132,0.26821493086669634,1.0,1.0
Sall1,-1.402835,0.1596085,0.1606660480518416,0.26747397291237746,1.0,1.0
Foxf1,-1.4087921,-0.1002182,0.15889662406942784,0.26461992270105655,1.0,1.0
Parpbp,-1.4162301,,0.15670816349662214,0.26131947583747184,1.0,1.0
Sertad1,-1.4169359,-0.12573333,0.15650167993727587,0.2610621158833732,1.0,1.0
Cdcp1,-1.4347806,0.019754414,0.15134963814902885,0.2528049010924386,1.0,1.0
